Country Group Name,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
Emerging market and developing economies,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,"3,779.30","3,756.34","3,703.17","3,673.73","3,741.60","3,788.06","3,857.68","3,917.98","3,993.63","4,031.52","4,692.04","4,838.30","4,832.80","4,853.46","4,872.03","4,957.84","5,106.53","5,259.09","5,235.25","5,322.02","5,540.22","5,653.31","5,794.50","6,063.18","6,435.96","6,791.36","7,217.90","7,704.47","8,018.79","8,081.59","8,551.15","8,950.38","9,258.81","9,582.39","9,886.43","10,164.15","10,460.36","10,809.42","11,166.20","11,422.80","11,057.57","11,704.98","12,016.43","12,329.85","12,719.50","13,130.67","13,552.02","13,978.30",
Emerging and developing Asia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,"1,295.11","1,345.52","1,385.53","1,453.13","1,527.57","1,600.35","1,664.25","1,743.32","1,868.61","1,949.61","2,028.71","2,111.97","2,256.35","2,416.23","2,596.44","2,782.31","2,967.75","3,099.06","3,087.63","3,240.52","3,404.69","3,560.56","3,746.90","4,006.49","4,291.09","4,630.63","5,033.94","5,527.70","5,860.54","6,233.51","6,761.52","7,213.60","7,634.79","8,078.52","8,547.58","9,048.80","9,574.22","10,119.49","10,682.71","11,151.28","10,987.66","11,697.48","12,133.43","12,651.05","13,236.45","13,861.21","14,508.83","15,179.53",
Emerging and developing Europe,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,"11,741.91","11,494.49","11,498.46","11,858.17","12,193.85","12,347.51","12,747.50","13,239.91","13,344.33","13,238.89","17,035.70","15,823.18","14,236.11","13,471.27","12,215.09","12,119.10","12,000.53","12,214.31","12,100.15","12,387.59","13,294.21","13,662.24","14,356.59","15,264.33","16,472.75","17,503.13","18,794.47","20,125.71","20,971.13","19,666.82","20,489.90","21,631.63","22,228.92","22,839.51","23,179.47","23,296.00","23,672.87","24,590.58","25,396.33","25,991.11","25,577.73","27,329.12","29,327.03","29,414.85","30,103.37","30,754.79","31,404.16","32,054.32",
ASEAN-5,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,"3,245.30","3,374.47","3,436.36","3,515.70","3,591.15","3,573.97","3,684.69","3,835.87","4,075.36","4,361.64","4,611.99","4,862.45","5,100.06","5,394.39","5,703.55","6,058.58","6,385.95","6,520.01","5,898.42","5,987.37","6,248.33","6,365.87","6,594.87","6,877.83","7,192.62","7,477.08","7,789.13","8,171.39","8,489.93","8,585.46","9,057.31","9,363.58","9,821.81","10,181.12","10,526.11","10,917.71","11,347.59","11,838.10","12,342.32","12,795.44","12,213.54","12,520.79","13,061.47","13,572.78","14,163.49","14,770.76","15,399.85","16,045.26",
Latin America and the Caribbean,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,"11,839.31","11,627.46","11,304.01","10,748.29","10,929.49","11,024.18","11,242.68","11,380.63","11,271.50","11,127.88","10,933.81","11,152.88","11,329.25","11,579.02","11,833.50","11,740.80","11,940.53","12,388.01","12,506.59","12,323.91","12,568.70","12,449.44","12,274.66","12,356.62","12,936.59","13,338.93","13,893.34","14,485.85","14,865.15","14,367.05","15,044.50","15,556.96","15,821.65","16,095.07","16,118.90","15,997.62","15,701.00","15,740.67","15,770.89","15,598.11","14,322.47","15,177.05","15,572.41","15,714.23","15,951.26","16,215.11","16,480.61","16,679.45",
Middle East and Central Asia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,"10,446.58","10,022.60","9,485.14","9,163.15","8,882.95","8,695.28","8,521.75","8,281.58","8,254.87","8,319.15","8,511.21","8,936.49","8,503.45","8,268.64","8,180.53","8,153.69","8,353.91","8,430.46","8,576.60","8,581.50","8,895.14","8,974.72","8,828.49","9,117.51","9,635.85","10,002.10","10,389.48","10,770.38","10,968.75","10,856.69","11,151.87","11,410.79","11,419.14","11,472.87","11,597.16","11,679.91","11,917.21","11,916.05","11,970.03","11,931.71","11,365.28","12,047.48","12,406.20","12,627.08","12,844.99","13,076.20","13,317.61","13,573.76",
Sub-Saharan Africa,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,"3,225.03","3,238.11","3,163.25","3,069.03","3,085.19","3,020.93","3,019.71","3,012.52","3,039.14","3,026.12","2,937.65","2,850.59","2,750.63","2,706.46","2,676.18","2,705.21","2,758.48","2,769.40","2,765.52","2,756.81","2,773.50","2,821.26","2,909.78","2,954.25","3,069.21","3,175.42","3,276.86","3,399.38","3,494.49","3,521.92","3,660.63","3,720.74","3,789.33","3,870.24","3,958.64","3,977.64","3,928.38","3,938.00","3,964.25","3,984.44","3,813.64","3,889.50","3,927.79","3,970.41","4,027.26","4,089.27","4,154.59","4,224.16",
Advanced economies,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,"10,226.31","11,327.44","11,968.70","12,751.37","13,768.82","14,647.26","15,342.04","16,221.57","17,480.28","18,751.89","19,874.27","20,675.60","21,374.90","21,890.78","22,942.14","23,771.86","24,782.70","25,930.61","26,779.45","27,957.62","29,569.19","30,508.69","31,291.45","32,351.48","34,094.40","35,919.87","37,912.88","39,724.01","40,333.15","38,991.59","40,480.92","41,805.87","42,878.16","44,421.35","45,653.24","46,917.10","48,434.43","50,408.99","52,567.92","54,218.14","52,181.85","57,111.98","62,498.59","65,277.63","67,548.35","69,945.11","72,448.84","74,916.38",
Major advanced economies (G7),"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,"11,065.47","12,272.38","12,942.71","13,820.43","14,955.02","15,928.95","16,656.87","17,571.33","18,929.89","20,273.93","21,429.93","22,221.26","23,027.41","23,658.25","24,722.16","25,705.80","26,730.36","27,885.93","28,822.80","29,973.28","31,603.70","32,507.28","33,200.81","34,281.94","36,010.72","37,853.42","39,798.30","41,465.85","41,993.74","40,478.29","41,943.34","43,285.03","44,501.12","46,054.85","47,347.66","48,541.72","49,956.96","51,865.86","54,019.07","55,683.32","53,418.18","58,370.50","63,665.02","66,345.45","68,463.80","70,820.54","73,307.97","75,723.35",
Other advanced economies (Advanced economies excluding G7 and euro area),"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,"6,780.57","7,624.80","8,151.85","8,686.83","9,485.17","10,107.64","10,766.38","11,612.00","12,523.99","13,466.08","14,397.87","15,221.95","15,993.80","16,867.83","18,081.82","18,843.27","19,904.03","20,996.51","21,239.41","22,539.66","24,186.98","25,100.70","26,310.32","27,415.07","29,446.44","31,434.56","33,687.44","36,066.27","37,026.83","36,590.78","38,904.74","40,722.40","41,682.93","43,411.56","44,521.24","45,689.33","47,179.00","49,129.44","51,337.57","52,898.35","52,316.40","57,444.10","63,033.61","66,455.61","69,261.09","71,873.96","74,592.65","77,383.72",
European Union,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,"9,230.97","10,060.23","10,706.47","11,281.61","11,956.61","12,580.51","13,142.84","13,783.84","14,764.89","15,828.19","16,734.09","17,433.72","17,710.28","17,795.39","18,627.09","19,298.15","20,007.98","20,856.49","21,696.96","22,598.66","23,983.77","25,039.86","25,697.22","26,409.44","27,763.45","29,123.95","31,034.84","32,824.34","33,650.24","32,346.90","33,373.57","34,623.94","35,092.37","36,293.35","37,330.77","38,492.39","40,856.17","43,185.36","45,110.55","46,737.62","44,536.38","48,902.61","53,959.90","56,160.89","58,455.30","60,771.57","63,090.58","65,375.27",
Emerging market and developing economies,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,"1,604.05","1,745.15","1,825.91","1,881.71","1,982.45","2,071.67","2,150.14","2,235.44","2,362.86","2,484.34","2,595.43","2,739.56","3,219.18","3,319.33","3,415.62","3,557.60","3,737.16","3,915.51","3,945.96","4,070.42","4,335.54","4,526.71","4,717.47","5,048.73","5,507.79","5,996.69","6,572.76","7,209.35","7,654.01","7,789.26","8,347.00","8,936.30","9,414.79","9,814.67","10,084.61","10,070.71","10,333.09","10,809.42","11,432.94","11,904.90","11,663.13","12,859.01","14,139.73","15,025.46","15,825.54","16,640.74","17,501.70","18,401.53",
Emerging and developing Asia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,562.702,639.959,699.912,763.46,832.705,901.982,957.434,"1,028.53","1,142.02","1,237.78","1,335.92","1,438.70","1,573.68","1,726.76","1,896.64","2,076.27","2,256.29","2,398.76","2,418.86","2,575.23","2,767.97","2,961.53","3,166.84","3,454.71","3,801.24","4,233.86","4,748.74","5,360.95","5,797.14","6,210.57","6,820.56","7,432.49","8,085.56","8,532.94","8,897.88","9,177.58","9,600.83","10,119.49","10,937.90","11,621.92","11,589.39","12,850.78","14,277.40","15,416.89","16,468.73","17,566.57","18,737.36","19,982.87",
Emerging and developing Europe,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,"4,484.13","4,801.73","5,097.32","5,462.14","5,817.36","6,078.51","6,402.11","6,815.85","7,112.97","7,338.41","7,465.98","7,204.88","8,547.43","8,299.08","7,710.64","7,825.79","7,903.81","8,198.85","8,213.84","8,534.88","9,372.52","9,841.30","10,500.90","11,381.26","12,603.23","13,818.48","15,295.75","16,820.69","17,867.67","16,889.12","17,812.47","19,197.96","20,260.20","21,698.26","22,252.61","22,164.51","22,894.34","24,590.58","26,003.01","27,088.06","26,978.48","30,023.58","34,509.11","35,845.68","37,454.47","38,976.11","40,556.76","42,197.45",
ASEAN-5,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,"1,389.78","1,582.65","1,709.87","1,817.43","1,925.05","1,976.51","2,079.82","2,219.00","2,439.65","2,713.04","2,976.92","3,247.01","3,482.39","3,771.21","4,072.43","4,416.88","4,742.14","4,928.98","4,494.78","4,623.28","4,934.32","5,137.75","5,403.06","5,742.84","6,164.12","6,608.36","7,095.72","7,645.10","8,102.34","8,248.53","8,805.57","9,297.92","10,003.97","10,374.87","10,690.59","10,801.99","11,264.64","11,838.10","12,637.16","13,335.47","12,882.41","13,755.25","15,369.44","16,540.13","17,622.14","18,719.26","19,888.07","21,122.55",
Latin America and the Caribbean,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,"4,675.06","5,024.91","5,190.05","5,120.83","5,398.37","5,633.05","5,864.87","6,086.04","6,241.95","6,414.16","6,528.42","6,873.57","7,127.25","7,455.72","7,782.57","7,897.07","8,172.73","8,617.74","8,790.06","8,788.41","9,173.51","9,299.85","9,333.98","9,572.24","10,286.50","10,929.97","11,727.90","12,554.10","13,133.74","12,789.69","13,552.25","14,298.81","14,628.01","15,110.50","15,385.46","15,123.91","15,208.00","15,740.67","16,147.63","16,256.43","15,106.83","16,673.40","18,324.05","19,149.76","19,846.48","20,549.71","21,283.81","21,957.42",
Middle East and Central Asia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,"5,006.94","5,266.39","5,293.12","5,305.58","5,305.76","5,339.42","5,325.86","5,290.67","5,468.34","5,739.88","6,104.30","6,630.43","6,394.03","6,382.05","6,447.92","6,568.81","6,848.43","7,022.44","7,220.39","7,304.95","7,742.92","7,972.02","7,962.63","8,452.11","9,198.79","9,830.42","10,521.76","11,189.94","11,613.72","11,568.35","12,030.75","12,803.39","12,813.64","12,800.40","12,729.05","11,704.90","11,590.59","11,916.05","12,255.97","12,435.29","11,987.69","13,235.28","14,598.37","15,387.68","15,981.68","16,571.71","17,198.97","17,868.98",
Sub-Saharan Africa,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,"1,297.76","1,425.78","1,477.85","1,488.25","1,549.96","1,565.83","1,594.38","1,628.29","1,702.69","1,763.77","1,792.68","1,800.37","1,779.65","1,795.00","1,813.15","1,871.32","1,943.52","1,987.27","2,013.69","2,035.98","2,094.96","2,179.21","2,283.45","2,365.54","2,523.22","2,691.12","2,861.17","3,046.13","3,192.42","3,238.98","3,407.29","3,549.84","3,582.86","3,723.77","3,882.53","3,872.35","3,881.29","3,938.00","4,058.95","4,152.60","4,022.49","4,272.97","4,621.83","4,838.44","5,010.70","5,182.41","5,365.43","5,560.84",
Advanced economies,Output gap,Percent of potential GDP,,,-1.25,-1.44,-3.684,-3.268,-1.541,-1.02,-1.191,-0.789,0.449,1.199,1.115,-0.102,-0.495,-1.728,-1.039,-0.781,-0.613,-0.055,-0.252,0.295,1.377,0.096,-0.869,-1.366,-0.636,-0.228,0.576,1.261,-0.166,-4.963,-3.456,-3.182,-3.342,-3.204,-2.605,-1.917,-1.59,-0.662,-0.023,0.163,-3.475,-0.691,-0.178,-0.705,n/a,n/a,n/a,n/a,
Euro area,Output gap,Percent of potential GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.656,0.795,-2.484,-1.891,-1.378,-1.894,-1.385,-0.698,-0.168,1.209,1.246,0.344,-0.697,-0.262,-0.214,1.369,2.895,2.292,-2.88,-1.597,-0.763,-2.313,-3.205,-2.878,-2.298,-1.66,-0.604,-0.15,0.05,-4.47,-1.918,-0.252,-0.782,-0.394,-0.094,0.081,0.113,
Major advanced economies (G7),Output gap,Percent of potential GDP,,,-1.721,-1.57,-4.02,-3.401,-1.438,-0.807,-1.08,-0.845,0.496,1.221,1.047,-0.301,-0.532,-1.69,-0.982,-0.848,-0.629,-0.133,-0.064,0.366,1.332,-0.044,-1.218,-1.612,-0.911,-0.462,0.204,0.58,-0.93,-5.821,-4.316,-3.963,-3.761,-3.426,-2.778,-1.989,-1.735,-0.78,-0.089,0.202,-3.408,-0.603,-0.278,-0.91,-1.06,-0.735,-0.319,-0.122,
Advanced economies,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,62.776,62.889,62.78,63.219,63.45,63.519,63.388,63.385,63.52,63.692,63.076,62.506,57.656,57.445,57.642,57.659,57.207,56.906,56.905,56.969,56.593,56.129,55.477,54.388,53.341,52.343,51.226,49.915,48.62,47.159,46.172,45.163,44.233,43.865,43.663,44.186,44.151,43.813,43.274,42.851,42.246,41.958,41.792,41.174,40.551,39.987,39.427,38.829,
Major advanced economies (G7),Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,50.55,50.648,50.418,50.848,51.111,51.212,51.013,50.878,50.964,51.02,50.405,49.782,45.78,45.411,45.425,44.911,44.44,44.078,44.114,43.992,43.552,43.044,42.35,41.453,40.514,39.655,38.632,37.401,36.301,35.085,34.28,33.499,32.881,32.582,32.449,32.763,32.634,32.299,31.845,31.491,30.951,30.702,30.467,29.934,29.387,28.935,28.497,28.02,
Other advanced economies (Advanced economies excluding G7 and euro area),Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,5.696,5.826,5.925,6.002,6.123,6.164,6.277,6.43,6.478,6.533,6.545,6.615,6.188,6.319,6.512,6.987,7.052,7.093,6.963,7.096,7.171,7.18,7.253,7.163,7.158,7.115,7.083,7.065,6.984,6.948,6.982,6.942,6.81,6.81,6.786,6.877,6.893,6.859,6.807,6.754,6.834,6.793,6.79,6.763,6.721,6.656,6.589,6.525,
European Union,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,25.888,25.443,25.493,25.309,24.838,24.504,24.309,24.025,23.85,23.823,23.49,23.22,21.343,20.957,20.892,21.163,20.774,20.483,20.524,20.407,20.237,20.207,19.898,19.336,18.87,18.392,18.116,17.762,17.4,16.727,16.213,15.873,15.314,15.114,15.006,15.195,15.56,15.639,15.435,15.323,14.92,14.839,14.896,14.613,14.459,14.298,14.113,13.911,
Emerging market and developing economies,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,37.224,37.111,37.22,36.781,36.55,36.481,36.612,36.615,36.48,36.308,36.924,37.494,42.344,42.555,42.358,42.341,42.793,43.094,43.095,43.031,43.407,43.871,44.523,45.612,46.659,47.657,48.774,50.085,51.38,52.841,53.828,54.837,55.767,56.135,56.337,55.814,55.849,56.187,56.726,57.149,57.754,58.042,58.208,58.826,59.449,60.013,60.573,61.171,
Emerging and developing Asia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,8.904,9.259,9.69,10.112,10.38,10.718,10.985,11.35,11.864,12.156,12.366,12.786,12.515,13.369,14.184,14.896,15.547,15.844,15.833,16.286,16.543,17.117,17.743,18.455,19,19.807,20.688,21.801,22.694,24.493,25.484,26.422,27.601,28.027,28.445,29.001,29.484,29.766,30.589,31.322,32.087,32.455,32.94,33.666,34.336,34.981,35.617,36.268,
Emerging and developing Europe,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.284,8.654,7.651,7.337,7.081,7.084,6.829,6.759,6.951,6.958,7.09,7.231,7.403,7.505,7.653,7.778,7.873,7.437,7.371,7.496,7.536,7.712,7.642,7.475,7.451,7.61,7.601,7.584,7.692,7.753,7.225,7.075,7.03,6.96,6.887,6.818,
ASEAN-5,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,3.224,3.364,3.482,3.548,3.545,3.476,3.537,3.624,3.755,3.954,4.118,4.314,4.146,4.377,4.572,4.766,4.934,4.917,4.382,4.36,4.388,4.43,4.528,4.6,4.631,4.658,4.668,4.706,4.815,4.953,5.026,5.063,5.244,5.251,5.281,5.292,5.375,5.422,5.518,5.632,5.61,5.476,5.608,5.732,5.851,5.957,6.062,6.168,
Latin America and the Caribbean,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,11.958,11.814,11.706,11.09,11.035,10.976,11.039,10.983,10.607,10.308,9.953,10.079,9.368,9.556,9.716,9.471,9.464,9.579,9.552,9.242,9.142,8.978,8.748,8.568,8.629,8.595,8.605,8.617,8.698,8.555,8.613,8.662,8.521,8.483,8.418,8.196,8.017,7.954,7.758,7.544,7.227,7.289,7.33,7.267,7.21,7.154,7.097,7.041,
Middle East and Central Asia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,9.601,9.355,9.102,8.84,8.435,8.195,7.98,7.656,7.514,7.515,7.895,8.302,8.591,8.403,8.269,8.096,8.139,8.043,8.283,8.175,8.226,8.222,8.269,8.67,8.905,8.991,9.054,9.088,9.244,9.376,9.338,9.175,9.074,8.829,8.651,7.952,7.739,7.736,7.665,7.576,7.581,7.414,7.559,7.632,7.659,7.68,7.705,7.742,
Sub-Saharan Africa,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,2.562,2.598,2.601,2.534,2.513,2.454,2.436,2.408,2.393,2.369,2.942,2.871,2.585,2.572,2.538,2.541,2.562,2.544,2.598,2.569,2.546,2.595,2.673,2.687,2.722,2.758,2.774,2.802,2.871,2.981,3.022,3.082,3.035,3.085,3.182,3.189,3.158,3.121,3.113,3.123,3.167,3.13,3.153,3.186,3.214,3.239,3.267,3.302,
World,Investment,Percent of GDP,,,26.412,25.862,24.305,23.85,24.835,24.545,24.407,24.818,25.706,26.166,24.284,23.765,24.223,23.754,24.133,24.26,24.145,24.091,23.788,23.802,24.31,23.522,22.876,23.072,23.806,24.173,24.681,25.233,25.237,23.272,24.425,25.248,25.401,25.446,25.735,25.765,25.436,25.928,26.465,26.524,26.45,27.104,27.981,27.816,27.844,27.923,28.026,28.098,
Advanced economies,Investment,Percent of GDP,,,26.466,25.8,24.135,23.894,25.179,24.712,24.733,25.214,26.034,26.327,25.956,24.936,24.233,23.645,24.007,24.252,24.143,24.07,23.841,24.001,24.435,23.258,22.445,22.374,22.859,23.343,23.73,23.707,23.067,20.098,20.87,21.451,21.408,21.306,21.641,21.829,21.648,22.083,22.376,22.653,22.346,22.664,22.983,22.644,22.57,22.578,22.587,22.568,
Euro area,Investment,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,26.195,24.623,22.431,23.465,22.327,21.661,21.826,22.596,22.95,23.574,22.967,22.004,21.959,22.151,22.404,23.382,24.104,23.589,20.362,20.959,21.503,19.983,19.621,19.968,20.382,20.699,21.304,21.895,22.881,22.331,23.015,23.222,22.523,22.306,22.202,22.152,22.131,
